episode,reward
588,-275.21461497968915
589,-262.08304155035796
590,-280.122550895204
591,-272.1684314941514
592,-260.19853675342085
593,-261.5479732801897
594,-284.04756945965346
595,-269.090940754627
596,-276.3808043245226
597,-266.52738352282825
598,-287.403155045001
599,-268.5615091541541
600,-260.8592916855115
601,-266.15790288650817
602,-258.8265812546015
603,-267.66038272099024
604,-254.30748034454882
605,-268.75706761307003
606,-263.82616951479497
607,-267.74414403526964
608,-260.7704711833495
609,-271.240182792185
610,-263.5572371312875
611,-255.64877510606235
612,-269.79879011190417
613,-267.1539891194552
614,-254.87004750384872
615,-277.5747036021203
616,-259.50174787430944
617,-270.80058438086337
618,-271.48897045641127
619,-258.0335253312951
620,-260.72400389402094
621,-268.2033673208207
622,-291.17299904488027
623,-260.7715294727815
624,-265.2552863860029
625,-266.73767161159697
626,-258.6049974542111
627,-259.6004297932369
628,-262.1913530768353
629,-273.1034327314693
630,-253.7773686514694
631,-266.40028783806986
632,-258.17846190347257
633,-259.00762733234944
634,-259.53597501828256
635,-275.61324158101263
636,-285.6909058203447
637,-257.6011081391472
638,-273.86684050946417
639,-265.653358144452
640,-263.15516905649486
641,-264.840604623546
642,-264.40218659990853
643,-264.291479268809
644,-268.67603684344715
645,-256.92122347070756
646,-270.7886719906229
647,-270.2896665207809
648,-258.3040582330424
649,-284.9296925866503
650,-253.85060498281305
651,-267.2852192800492
652,-260.27366323559465
653,-266.173147098859
654,-270.0405406297642
655,-277.84357151924553
656,-271.8123016485471
657,-257.97755170217636
658,-257.5606253113365
659,-257.8532424659926
660,-263.80355693248566
661,-256.03332676156344
662,-252.44337118393665
663,-270.7427204938132
664,-267.67669342586225
665,-256.11197913228455
666,-266.12666182755413
667,-259.1758177911389
668,-270.02565781748774
669,-277.76840487657967
670,-256.8654961080748
671,-257.7957600855726
672,-264.22229125886145
673,-269.4186321068555
674,-275.99196624883837
675,-270.8674125929821
676,-271.48127572087105
677,-252.2433723562855
678,-266.91143137752
679,-267.2467716836828
680,-266.6730802835656
681,-253.78959327726548
682,-254.3630967193741
683,-256.4939017908174
684,-260.9400417858261
685,-264.94898825639314
686,-254.9265156888861
687,-264.9613557101685
688,-263.93808457418265
689,-253.51084395660942
690,-260.64080388634386
691,-269.63239984749737
692,-259.08555349497976
693,-252.72227806388324
694,-264.99826347618284
695,-275.04167353524747
696,-257.34471881890124
697,-261.12511033413466
698,-264.34886956377807
699,-251.62230614735668
